tweet,analysis
RT @ingeniebrio23: Ya llego mi Tesla Cyber truck que comprÃ© en mercado libre ğŸ™ğŸ¼ https://t.co/iJeR8lO9xg,"Sentiment(polarity=0.0, subjectivity=0.0)"
RT @ingeniebrio23: Ya llego mi Tesla Cyber truck que comprÃ© en mercado libre ğŸ™ğŸ¼ https://t.co/iJeR8lO9xg,"Sentiment(polarity=0.0, subjectivity=0.0)"
Ya me llego mi Tesla Cyber TruckğŸ˜ https://t.co/fOiXK4uIpm,"Sentiment(polarity=0.0, subjectivity=0.0)"
What do you guys think about this Tesla Cyber Truck/Trailer combo?  #Tesla #TeslaCyberTruck #TeslaCyberTrailerâ€¦ https://t.co/CvsATxr7uC,"Sentiment(polarity=0.0, subjectivity=0.0)"
"Shit if Tesla brought this out I think people would still think it's crazy
But not as crazy bad as the cyber truckâ€¦ https://t.co/oJEXZidBGZ","Sentiment(polarity=-0.5249999999999999, subjectivity=0.8166666666666667)"
RT @ingeniebrio23: Ya llego mi Tesla Cyber truck que comprÃ© en mercado libre ğŸ™ğŸ¼ https://t.co/iJeR8lO9xg,"Sentiment(polarity=0.0, subjectivity=0.0)"
Ya llego mi Tesla Cyber truck que comprÃ© en mercado libre ğŸ™ğŸ¼ https://t.co/iJeR8lO9xg,"Sentiment(polarity=0.0, subjectivity=0.0)"
Cyber truck by Tesla ... so cool https://t.co/7Z56ZhtwH3,"Sentiment(polarity=0.35, subjectivity=0.65)"
Hay @elonmusk can I have a cyber truck??? #ElonMusk #cybertruck #Tesla,"Sentiment(polarity=0.0, subjectivity=0.0)"
Finally got my @Tesla  cyber truck that i ordered on wish ğŸ˜ @elonmusk https://t.co/VujFcT5cbA,"Sentiment(polarity=0.0, subjectivity=1.0)"
@BenSullins @Tesla What do you think the total pre-orders for the Cyber Truck will be by New Years day?  Based on Eâ€¦ https://t.co/DWzNd4g1p4,"Sentiment(polarity=0.06818181818181818, subjectivity=0.6022727272727273)"
@elonmusk @Teslarati @tesla_raj Like it like it is!  Question on the roll up bed cover. I was looking at my f-350 tâ€¦ https://t.co/3AUv3vtvJc,"Sentiment(polarity=0.0, subjectivity=0.0)"
RT @JumpedUpChuck: The Tesla Cyber Truck launch video is 2019's version of the Zapruder film.,"Sentiment(polarity=0.0, subjectivity=0.0)"
